------------------------------------------------------------
 Model:        tpxo9.v1
 Constituents included: m2  s2  n2  k2  k1  o1  p1  q1  mm  mf  m4  mn4 ms4 2n2 
 s1  
 
     Lat       Lon        mm.dd.yyyy hh:mm:ss     z(m)   Depth(m)
    36.1889  -75.9000     10.12.1994 17:24:00     0.484    10.076
    36.1889  -75.9000     10.12.1994 17:24:10     0.484    10.076
    36.1889  -75.9000     10.12.1994 17:24:20     0.484    10.076
    36.1889  -75.9000     10.12.1994 17:24:30     0.485    10.076
    36.1889  -75.9000     10.12.1994 17:24:40     0.485    10.076
    36.1889  -75.9000     10.12.1994 17:24:50     0.486    10.076
    36.1889  -75.9000     10.12.1994 17:25:00     0.486    10.076
    36.1889  -75.9000     10.12.1994 17:25:10     0.486    10.076
    36.1889  -75.9000     10.12.1994 17:25:20     0.487    10.076
    36.1889  -75.9000     10.12.1994 17:25:30     0.487    10.076
    36.1889  -75.9000     10.12.1994 17:25:40     0.487    10.076
    36.1889  -75.9000     10.12.1994 17:25:50     0.488    10.076
    36.1889  -75.9000     10.12.1994 17:26:00     0.488    10.076
    36.1889  -75.9000     10.12.1994 17:26:10     0.489    10.076
    36.1889  -75.9000     10.12.1994 17:26:20     0.489    10.076
    36.1889  -75.9000     10.12.1994 17:26:30     0.489    10.076
    36.1889  -75.9000     10.12.1994 17:26:40     0.490    10.076
    36.1889  -75.9000     10.12.1994 17:26:50     0.490    10.076
    36.1889  -75.9000     10.12.1994 17:27:00     0.491    10.076
    36.1889  -75.9000     10.12.1994 17:27:10     0.491    10.076
    36.1889  -75.9000     10.12.1994 17:27:20     0.491    10.076
    36.1889  -75.9000     10.12.1994 17:27:30     0.492    10.076
    36.1889  -75.9000     10.12.1994 17:27:40     0.492    10.076
    36.1889  -75.9000     10.12.1994 17:27:50     0.492    10.076
    36.1889  -75.9000     10.12.1994 17:28:00     0.493    10.076
    36.1889  -75.9000     10.12.1994 17:28:10     0.493    10.076
    36.1889  -75.9000     10.12.1994 17:28:20     0.494    10.076
    36.1889  -75.9000     10.12.1994 17:28:30     0.494    10.076
    36.1889  -75.9000     10.12.1994 17:28:40     0.494    10.076
    36.1889  -75.9000     10.12.1994 17:28:50     0.495    10.076
    36.1889  -75.9000     10.12.1994 17:29:00     0.495    10.076
    36.1889  -75.9000     10.12.1994 17:29:10     0.495    10.076
    36.1889  -75.9000     10.12.1994 17:29:20     0.496    10.076
    36.1889  -75.9000     10.12.1994 17:29:30     0.496    10.076
    36.1889  -75.9000     10.12.1994 17:29:40     0.496    10.076
    36.1889  -75.9000     10.12.1994 17:29:50     0.497    10.076
    36.1889  -75.9000     10.12.1994 17:30:00     0.497    10.076
    36.1889  -75.9000     10.12.1994 17:30:10     0.498    10.076
    36.1889  -75.9000     10.12.1994 17:30:20     0.498    10.076
    36.1889  -75.9000     10.12.1994 17:30:30     0.498    10.076
    36.1889  -75.9000     10.12.1994 17:30:40     0.499    10.076
    36.1889  -75.9000     10.12.1994 17:30:50     0.499    10.076
    36.1889  -75.9000     10.12.1994 17:31:00     0.499    10.076
    36.1889  -75.9000     10.12.1994 17:31:10     0.500    10.076
    36.1889  -75.9000     10.12.1994 17:31:20     0.500    10.076
    36.1889  -75.9000     10.12.1994 17:31:30     0.500    10.076
    36.1889  -75.9000     10.12.1994 17:31:40     0.501    10.076
    36.1889  -75.9000     10.12.1994 17:31:50     0.501    10.076
    36.1889  -75.9000     10.12.1994 17:32:00     0.501    10.076
    36.1889  -75.9000     10.12.1994 17:32:10     0.502    10.076
    36.1889  -75.9000     10.12.1994 17:32:20     0.502    10.076
    36.1889  -75.9000     10.12.1994 17:32:30     0.503    10.076
    36.1889  -75.9000     10.12.1994 17:32:40     0.503    10.076
    36.1889  -75.9000     10.12.1994 17:32:50     0.503    10.076
    36.1889  -75.9000     10.12.1994 17:33:00     0.504    10.076
    36.1889  -75.9000     10.12.1994 17:33:10     0.504    10.076
    36.1889  -75.9000     10.12.1994 17:33:20     0.504    10.076
    36.1889  -75.9000     10.12.1994 17:33:30     0.505    10.076
    36.1889  -75.9000     10.12.1994 17:33:40     0.505    10.076
    36.1889  -75.9000     10.12.1994 17:33:50     0.505    10.076
    36.1889  -75.9000     10.12.1994 17:34:00     0.506    10.076
    36.1889  -75.9000     10.12.1994 17:34:10     0.506    10.076
    36.1889  -75.9000     10.12.1994 17:34:20     0.506    10.076
    36.1889  -75.9000     10.12.1994 17:34:30     0.507    10.076
    36.1889  -75.9000     10.12.1994 17:34:40     0.507    10.076
    36.1889  -75.9000     10.12.1994 17:34:50     0.507    10.076
    36.1889  -75.9000     10.12.1994 17:35:00     0.508    10.076
    36.1889  -75.9000     10.12.1994 17:35:10     0.508    10.076
    36.1889  -75.9000     10.12.1994 17:35:20     0.508    10.076
    36.1889  -75.9000     10.12.1994 17:35:30     0.509    10.076
    36.1889  -75.9000     10.12.1994 17:35:40     0.509    10.076
    36.1889  -75.9000     10.12.1994 17:35:50     0.509    10.076
    36.1889  -75.9000     10.12.1994 17:36:00     0.510    10.076
    36.1889  -75.9000     10.12.1994 17:36:10     0.510    10.076
    36.1889  -75.9000     10.12.1994 17:36:20     0.510    10.076
    36.1889  -75.9000     10.12.1994 17:36:30     0.511    10.076
    36.1889  -75.9000     10.12.1994 17:36:40     0.511    10.076
    36.1889  -75.9000     10.12.1994 17:36:50     0.511    10.076
    36.1889  -75.9000     10.12.1994 17:37:00     0.512    10.076
    36.1889  -75.9000     10.12.1994 17:37:10     0.512    10.076
    36.1889  -75.9000     10.12.1994 17:37:20     0.512    10.076
    36.1889  -75.9000     10.12.1994 17:37:30     0.513    10.076
    36.1889  -75.9000     10.12.1994 17:37:40     0.513    10.076
    36.1889  -75.9000     10.12.1994 17:37:50     0.513    10.076
    36.1889  -75.9000     10.12.1994 17:38:00     0.514    10.076
    36.1889  -75.9000     10.12.1994 17:38:10     0.514    10.076
    36.1889  -75.9000     10.12.1994 17:38:20     0.514    10.076
    36.1889  -75.9000     10.12.1994 17:38:30     0.515    10.076
    36.1889  -75.9000     10.12.1994 17:38:40     0.515    10.076
    36.1889  -75.9000     10.12.1994 17:38:50     0.515    10.076
    36.1889  -75.9000     10.12.1994 17:39:00     0.515    10.076
    36.1889  -75.9000     10.12.1994 17:39:10     0.516    10.076
    36.1889  -75.9000     10.12.1994 17:39:20     0.516    10.076
    36.1889  -75.9000     10.12.1994 17:39:30     0.516    10.076
    36.1889  -75.9000     10.12.1994 17:39:40     0.517    10.076
    36.1889  -75.9000     10.12.1994 17:39:50     0.517    10.076
    36.1889  -75.9000     10.12.1994 17:40:00     0.517    10.076
    36.1889  -75.9000     10.12.1994 17:40:10     0.518    10.076
    36.1889  -75.9000     10.12.1994 17:40:20     0.518    10.076
    36.1889  -75.9000     10.12.1994 17:40:30     0.518    10.076
    36.1889  -75.9000     10.12.1994 17:40:40     0.519    10.076
    36.1889  -75.9000     10.12.1994 17:40:50     0.519    10.076
    36.1889  -75.9000     10.12.1994 17:41:00     0.519    10.076
    36.1889  -75.9000     10.12.1994 17:41:10     0.519    10.076
    36.1889  -75.9000     10.12.1994 17:41:20     0.520    10.076
    36.1889  -75.9000     10.12.1994 17:41:30     0.520    10.076
    36.1889  -75.9000     10.12.1994 17:41:40     0.520    10.076
    36.1889  -75.9000     10.12.1994 17:41:50     0.521    10.076
    36.1889  -75.9000     10.12.1994 17:42:00     0.521    10.076
    36.1889  -75.9000     10.12.1994 17:42:10     0.521    10.076
    36.1889  -75.9000     10.12.1994 17:42:20     0.522    10.076
    36.1889  -75.9000     10.12.1994 17:42:30     0.522    10.076
    36.1889  -75.9000     10.12.1994 17:42:40     0.522    10.076
    36.1889  -75.9000     10.12.1994 17:42:50     0.522    10.076
    36.1889  -75.9000     10.12.1994 17:43:00     0.523    10.076
    36.1889  -75.9000     10.12.1994 17:43:10     0.523    10.076
